company,name,salary_top,salary_bottom,type,education,latitude,longitude,skills,description
company 0,job 0,5850.8091411696305,2491.5626639419297,internship,postgraduate,-33.87702344142242,151.11381685175664,['Teaching - Early Childhood'],"The Call Center Specialist will be responsible for
performing a full range of customer service oriented telephone and e-mail
support activities. His/ her job duties are primarily customer-centered,
service-focused and communication-driven."
company 0,job 1,9250.852838059622,1949.0150504935655,apprenticeship,secondary,-33.73614094724874,151.37283101953244,"['Printing & Publishing Services', 'Waiting Staff', 'Family Law', 'All Administration & Office Support ', 'Emergency Services']","The incumbent will be responsible for organizing
tenders, procurement and relevant documentation."
company 0,job 2,4379.282291539302,855.5745965043093,internship,none,-33.95176646643318,151.50517703780622,['Travel Agents/Consultants'],"The Technician (CAD) will be responsible for
preparation of drawings/ designs required for the unit activities by
using corresponding software, measurement skills and tools."
company 0,job 3,4915.250251544641,1902.122055803972,internship,secondary,-33.70635524838299,151.37573244984583,"['Child Welfare, Youth & Family Services ', 'Residential Leasing & Property Management', 'Other']","The incumbent will translate at least four news
articles per day from English to Russian for posting on internet
journal. In-office work is required."
company 0,job 4,9200.092543760273,7921.420410805214,internship,postgraduate,-34.001315143259156,151.40759710136658,"['All Sport & Recreation', 'Other', 'Travel Agents/Consultants']","As a member of the growing IT Support team, the
Specialist is in charge of rendering first level of IT support to all
VivaCell computer user group."
company 0,job 5,4299.7337969450855,1423.1946546591523,internship,none,-33.80408780908981,151.35639860579477,"['Agronomy & Farm Services', 'Nursing - Midwifery, Neo-Natal, SCN & NICU', 'Automotive Engineering', 'Gardening & Landscaping']","Aecom is seeking qualified candidates for a 5 year
USAID-funded, Economic Growth program in Armenia. The objective of the
program is to raise incomes and employment in Armenia by promoting growth
in selected commodity chains or services with export potential. Focusing
on the role of small and medium-sized Enterprises (SMEs), this program is
expected to facilitate the development of competitive enterprises and
value chains by stimulating innovation, enhancing workforce skills,
accelerating new enterprise formation, improving access to finance, and
addressing shortcomings in the business environment.
The candidate will be responsible for overseeing project activities
designed to:
- Adopt innovative practices in financial service delivery to promote
competitiveness;
- Mitigate risks associated with lending to Small and Medium-sized
enterprises; and 
- Promote foreign direct investment."
company 0,job 6,9625.8261564538,7538.717909444662,full time,tertiary,-34.112547102641024,151.21289630837822,['Tutoring'],"The Credit Officer will be responsible for all
procedures concerning credit activities."
company 0,job 7,8816.444361502603,2501.836273002994,full time,secondary,-33.82020599777005,151.3173453154866,"['Architects', 'Estimating', 'Mining - Drill & Blast', 'Forensic Accounting & Investigation', 'Treasury']","The incumbent will be responsible for organizing the
process of provision, service, monitoring and management of consumer
loans."
company 0,job 8,8673.840559641074,7840.249800726893,full time,postgraduate,-33.83158475596376,151.24124123780794,"['All Banking & Financial Services ', 'Media Strategy, Planning & Buying', 'Aviation Services', 'Construction Law']","The incumbent will be developing software applications
working in a distributed team."
company 0,job 9,9001.639195349822,3132.0004216892094,full time,postgraduate,-34.08221262387785,151.32012932177577,"['Retail & Property Development', 'Pickers & Packers', 'Other', 'Maintenance & Handyperson Services']","HSBC Bank Armenia CJSC is looking for an experienced
and qualified Finance Specialist who will be responsible for preparation
of reports submitted to the Central Bank of Armenia, including normative
ratios calculation, and HSBC Group, Management reporting and financial
analysis."
