company,name,salary_top,salary_bottom,field,education,skills
company 0,job 0,4094.2093489552435,2978.3414543860263,['part time'],['none'],"['All Human Resources & Recruitment ', 'Office Management', 'Fitness & Personal Training', 'Biological & Biomedical Sciences']"
company 0,job 1,8712.29554397045,3390.033181962433,['apprenticeship'],['apprenticeship'],"['General/Business Unit Manager', 'Police & Corrections', 'Community Development', 'Team Leaders/Supervisors', 'Urban Design & Planning']"
company 0,job 2,7913.962178925197,5818.061260354083,['casual'],['tertiary'],['Audit - Internal']
company 0,job 3,7646.339984551531,1130.3906001092823,['part time'],['secondary'],"['Banking - Business', 'All Farming, Animals & Conservation ']"
company 0,job 4,6982.903378358617,3372.0198192922835,['part time'],['masters'],"['Contracts Administration', 'Account & Relationship Management']"
company 0,job 5,5207.261996808566,414.5651225484104,['part time'],['secondary'],"['Welders & Boilermakers ', 'Machine Operators', 'Customer Service - Call Centre', 'Client Services', 'Speech Therapy']"
company 0,job 6,8132.158478040986,6771.166039390861,['casual'],['PhD'],"['Web & Interaction Design', 'Residential Leasing & Property Management', 'Chemical Engineering', 'Financial Managers & Controllers']"
company 0,job 7,4759.5450430729325,1556.4398283418402,['part time'],['MBA'],['Aviation Services']
company 0,job 8,7700.135005567411,3784.940730399886,['full time'],['PhD'],"['Management', 'Maintenance & Handyperson Services', 'All Insurance & Superannuation', 'Workplace Training & Assessment']"
company 0,job 9,2879.3037963415404,1491.9913913729188,['apprenticeship'],['masters'],"['Couriers, Drivers & Postal Services', 'Waiting Staff', 'Plumbers', 'Developers/Programmers ']"
company 1,job 10,9721.280238156689,6043.4065304693295,['part time'],['masters'],"['Treasury', 'Research & Fellowships', 'Brand Management', 'Retail Assistants ', 'Management']"
company 1,job 11,9273.364915286087,9146.117906186559,['apprenticeship'],['tertiary'],"['Industrial Design', 'Fleet Management', 'Management', 'Event Management']"
company 1,job 12,8074.49151403348,4646.0994033599745,['casual'],['masters'],"['Oil & Gas - Exploration & Geoscience', 'Litigation & Dispute Resolution', 'Sales - Outbound', 'Surveying', 'Fashion & Textile Design']"
company 1,job 13,5193.138848141804,3406.957448250427,['internship'],['secondary'],"['Physiotherapy, OT & Rehabilitation ', 'Intellectual Property Law', 'Road Transport ', 'Nursing - Aged Care ']"
company 1,job 14,5678.1784790858965,5076.187148010332,['part time'],['MBA'],"['Business Services & Corporate Advisory', ""Workers' Compensation"", 'Other', 'General/Business Unit Manager', 'Machine Operators']"
company 1,job 15,4644.366523627999,1149.2493615625233,['part time'],['MBA'],['Public Relations & Corporate Affairs']
company 1,job 16,5712.37981591914,2356.8174153876985,['internship'],['apprenticeship'],"['Generalists - Law Firm', 'Indigenous & Multicultural Services']"
company 1,job 17,9177.032107149143,8083.510388720706,['internship'],['apprenticeship'],"['Retail & Property Development', 'All Construction ', 'Nursing - Management', 'Volunteer Coordination & Support', 'Networks & Systems Administration']"
company 1,job 18,9793.555039146395,8648.154003547177,['apprenticeship'],['none'],['Contracts Administration']
company 1,job 19,6686.8022029673675,1307.2242475888652,['casual'],['none'],"['All Construction ', 'Supervisors', 'Underwriting']"
company 2,job 20,5023.259093315174,4843.895693608204,['apprenticeship'],['PhD'],"['Residential Sales', 'All Accounting ', 'General/Business Unit Manager', 'All Sales ']"
company 2,job 21,6611.047010049913,5543.332783046018,['full time'],['masters'],"['Sales - Pre & Post', 'Health, Safety & Environment', 'Engineering - Hardware', 'Sales - Inbound', 'All Hospitality & Tourism ']"
company 2,job 22,5445.433906655617,2242.638433992995,['casual'],['masters'],['Other']
company 2,job 23,6007.170082045289,2957.458421778626,['full time'],['tertiary'],"['Other', 'Farm Labour', 'Property Law', 'Surveying', 'Project Engineering']"
company 2,job 24,7943.197843986216,4416.690573764269,['part time'],['secondary'],"['Couriers, Drivers & Postal Services', 'Management - Vocational', 'All Hospitality & Tourism ', 'Management']"
company 2,job 25,6495.584098319487,344.6753377987499,['internship'],['MBA'],"['Fishing & Aquaculture', 'Analysis & Reporting', 'Accounts Officers/Clerks']"
company 2,job 26,1679.8499767940446,151.71632869973362,['part time'],['secondary'],['Management']
company 2,job 27,9568.428568571613,1162.2594181289091,['apprenticeship'],['none'],['Water & Waste Engineering']
company 2,job 28,5147.764439898581,4580.810426238921,['internship'],['apprenticeship'],"['Sales - Pre & Post', 'Management', 'Road Transport ', 'Horticulture']"
company 2,job 29,9022.349005169044,958.9959876061649,['full time'],['tertiary'],"['Generalists - In-house', 'Payroll', 'Pathology', 'Promotions']"
company 3,job 30,8361.61937688776,3872.501815234569,['part time'],['apprenticeship'],"['Web Development & Production', 'Environment & Sustainability Consulting']"
company 3,job 31,7483.579829082032,561.2972685231599,['part time'],['tertiary'],"['Nursing - Paediatric & PICU', 'Reservations']"
company 3,job 32,7178.140682258813,2435.039257369894,['casual'],['secondary'],"['Claims', 'Actuarial', 'Management - Department/Assistant']"
company 3,job 33,639.106678109217,301.41661559195063,['casual'],['apprenticeship'],['Company Secretaries']
company 3,job 34,6065.451726012083,4457.1732488187645,['apprenticeship'],['secondary'],"['Computer Operators', 'Nursing - Educators & Facilitators', 'Medical Administration', 'Digital & Search Marketing']"
company 3,job 35,7737.359657188497,5964.454099272088,['apprenticeship'],['apprenticeship'],"['Building Services Engineering', 'Body Corporate & Facilities Management', 'Management - Store ', 'Process Engineering', 'Physiotherapy, OT & Rehabilitation ']"
company 3,job 36,7812.2757232643135,294.36592860525803,['casual'],['apprenticeship'],"['Industrial Engineering', 'Nursing - Midwifery, Neo-Natal, SCN & NICU', 'Farm Labour']"
company 3,job 37,9922.125422074294,3195.741721582801,['casual'],['none'],"['Agronomy & Farm Services', 'Internal Communications', 'Records Management & Document Control']"
company 3,job 38,6339.421372013171,6042.198058198044,['internship'],['PhD'],"['Web & Interaction Design', 'Management', 'Other', 'Nursing - Theatre & Recovery']"
company 3,job 39,8353.872098157713,5896.856969778716,['casual'],['none'],['Recruitment - Internal']
company 4,job 40,1999.7704458350818,1623.4884501476022,['internship'],['none'],"['Promotions', 'Painters & Sign Writers', 'Nursing - Aged Care ', 'Tutoring']"
company 4,job 41,5313.351596252094,4731.066731454965,['part time'],['apprenticeship'],"['Graphic Design', 'Conservation, Parks & Wildlife', 'All Call Centre & Customer Service ', 'Photography', 'Brokerage']"
company 4,job 42,7214.491282003341,6911.347775898781,['casual'],['tertiary'],['Developers/Programmers ']
company 4,job 43,5601.986863441764,877.7093871495589,['internship'],['MBA'],"['Taxation', 'Architects', 'Project Management', 'Other', 'Other']"
company 4,job 44,2313.560408526194,1676.7345387264043,['part time'],['none'],"['Superannuation', 'Oil & Gas - Production & Refinement', 'Systems Engineering', 'Account & Relationship Management']"
company 4,job 45,1881.107423184668,608.8437359190347,['full time'],['apprenticeship'],"['Commercial Sales, Leasing & Property Mgmt']"
company 4,job 46,7648.877222053866,5427.6004489981515,['internship'],['tertiary'],"['Other', 'Industrial & Employee Relations', 'Other']"
company 4,job 47,7241.21589095373,3890.412766416992,['apprenticeship'],['apprenticeship'],"['Other', 'All Science & Technology', 'Foreperson/Supervisors', 'Chemical Engineering', 'Collections']"
company 4,job 48,7136.55671396137,3298.6054717214706,['apprenticeship'],['PhD'],['Medical Administration']
company 4,job 49,3945.589361634765,3072.3227444622316,['casual'],['none'],"['Other', 'Emergency Services', 'Government - State ', 'Air Force']"
company 5,job 50,9566.954165679675,1565.5766614364918,['casual'],['apprenticeship'],"['Database Development & Administration', 'All Administration & Office Support ', 'Performing Arts', 'Dental ', 'Event Management']"
company 5,job 51,8670.01264795495,6390.829587613034,['part time'],['apprenticeship'],"['Computer Operators', 'Criminal & Civil Law', 'Maintenance & Handyperson Services']"
company 5,job 52,8361.630975665896,6417.18683025174,['casual'],['PhD'],"['Nursing - Educators & Facilitators', 'All Education & Training ', 'Dieticians', 'Merchandisers', 'Sales']"
company 5,job 53,7097.002629415254,2996.811855084568,['apprenticeship'],['PhD'],"['All Self Employment', 'Locksmiths', 'Mathematics, Statistics & Information Sciences', 'Business/Systems Analysts', 'Teaching Aides & Special Needs']"
company 5,job 54,9364.940177012575,5724.67382096194,['casual'],['MBA'],"['Pharmaceuticals & Medical Devices', 'Oil & Gas - Drilling']"
company 5,job 55,4583.480033504247,1832.1239839887605,['part time'],['masters'],"['Fleet Management', 'Estimating', 'Welders & Boilermakers ', 'Litigation & Dispute Resolution']"
company 5,job 56,1410.9037764410336,1145.7538877735485,['full time'],['PhD'],"['Brand Management', 'CEO']"
company 5,job 57,5610.835802968246,4882.94240432836,['casual'],['tertiary'],['Journalism & Writing']
company 5,job 58,6061.7779310879105,4961.836161059624,['part time'],['none'],"['Telecommunications', 'Other', 'Urban Design & Planning', 'Supervisors']"
company 5,job 59,1764.42932659974,79.06590593941942,['casual'],['MBA'],['Occupational Health & Safety']
company 6,job 60,8568.251968543675,1304.7678457019097,['casual'],['tertiary'],"['Teaching - Primary', 'Painters & Sign Writers']"
company 6,job 61,9864.718095325763,8285.19390538795,['part time'],['MBA'],"['All Community Services & Development ', 'Training & Development', 'Labourers ', 'Management - Department/Assistant']"
company 6,job 62,3683.4200214543066,2612.4954910527663,['apprenticeship'],['apprenticeship'],"['New Business Development', 'Company Secretaries', 'Power Generation & Distribution']"
company 6,job 63,1751.4627261050553,1637.5666408170987,['casual'],['MBA'],"['Customer Service - Customer Facing', 'Surveying', 'Telecommunications']"
